Accrual Period,LIBOR Adjustment Date
Accrual Period,Payment Date Statement
Applicable Investor,Retained Interest
Applicable Investor,Risk Retention Letter
Available Loans,Initial Cohort Pool
Barclays,BofA Merrill
Barclays,Citigroup
Barclays,Credit Suisse
Barclays,Dealer Agreement
Barclays,Dealers
Barclays,JP Morgan
Barclays,Wells Fargo
Benefit Plan Investor,Investment Company Act
BofA Merrill,Barclays
BofA Merrill,Citigroup
BofA Merrill,Credit Suisse
BofA Merrill,Dealer Agreement
BofA Merrill,Dealers
BofA Merrill,JP Morgan
BofA Merrill,Wells Fargo
Book-Entry Notes,Common Depositary
Book-Entry Notes,Definitive Notes
Book-Entry Notes,Indirect Participants
Book-Entry Notes,Note Owners
Book-Entry Notes,Participants
Book-Entry Notes,Payment Date
Book-Entry Notes,Record Date
Business Day,ICE Method
Business Day,Interest Settlement Rate
Business Day,LIBOR Adjustment Date
Business Day,LIBOR Business Day
Business Day,One-Month LIBOR
Business Day,Payment Date
Business Day,Record Date
Canadian Purchaser,NI 31-103
Canadian Purchaser,NI 45-106
Canadian Purchaser,Securities Laws
Citigroup,Barclays
Citigroup,BofA Merrill
Citigroup,Credit Suisse
Citigroup,Dealer Agreement
Citigroup,Dealers
Citigroup,JP Morgan
Citigroup,Wells Fargo
Class B Notes,Class M Debt Notes
Class B Notes,On-Market Swap Rate
Class Coupon,Annual Interest Amount
Class Coupon,Dealer
Class Coupon,Interest Accrual Amount
Class Coupon,LIBOR Adjustment Date
Class Coupon,Modeling Assumptions
Class Coupon,On-Market Swap Rate
Class M Debt Notes,CPDI Regulations
Class M Debt Notes,PAC Method
Class M Debt Notes,Withholding Agent
Class Notional Amount,Annual Interest Amount
Class Notional Amount,Group 1 Senior Percentage
Class Notional Amount,Group 2 Senior Percentage
Class Notional Amount,Interest Accrual Amount
Class Notional Amount,Modeling Assumptions
Class Notional Amount,Preliminary Class Notional Amount
Class Notional Amount,Preliminary Principal Loss Amount
Class Notional Amount,Write-up Excess
Class Principal Balance,Annual Interest Amount
Class Principal Balance,Group 1 Termination Date
Class Principal Balance,Group 2 Termination Date
Class Principal Balance,Interest Accrual Amount
Class Principal Balance,Modeling Assumptions
Class Principal Balance,Payment Date Statement
Clearstream,Book-Entry Notes
Clearstream,Clearstream International
Clearstream,Clearstream Participants
Clearstream,Common Depositary
Clearstream,Indirect Participants
Clearstream,Note Owners
Clearstream,Participants
Clearstream International,Clearstream
Closing Date,Accrual Period
Closing Date,Book-Entry Notes
Closing Date,Class M Debt Notes
Closing Date,Dealer
Closing Date,Debt Agreement
Closing Date,Global Agency Agreement
Closing Date,Group 1 Offered Notes
Closing Date,Group 2 Offered Notes
Closing Date,Modeling Assumptions
Closing Date,Offered Notes
Closing Date,Retained Interest
Closing Date,Risk Retention Letter
Credit Event,Credit Event Amount
Credit Event,Credit Event Net Gain
Credit Event,Credit Event Net Loss
Credit Event,Credit Event Reference Obligation
Credit Event,Credit Event UPB
Credit Event,Group 1 Reference Tranche
Credit Event,Group 2 Reference Tranche
Credit Event,Liquidation Proceeds
Credit Event,Liquidation Recovery Mortgage Loans
Credit Event,Modeling Assumptions
Credit Event,Mortgage Insurance Credit Amount
Credit Event,Net Liquidation Proceeds
Credit Event,Payment Date Statement
Credit Event,Principal Loss Amount
Credit Event,Principal Recovery Amount
Credit Event,Recovery Principal
Credit Event,Reference Pool Removals
Credit Event,Reversed Credit Event Amount
Credit Event,Transaction Summary
Credit Event,Unscheduled Principal
Credit Event Amount,Modeling Assumptions
Credit Event Amount,Payment Date Statement
Credit Event Amount,Recovery Principal
Credit Event Amount,Reversed Credit Event Amount
Credit Event Net Gain,Principal Recovery Amount
Credit Event Net Loss,Principal Loss Amount
Credit Event Net Loss,Principal Recovery Amount
Credit Event Reference Obligation,Credit Event Amount
Credit Event Reference Obligation,Credit Event Net Gain
Credit Event Reference Obligation,Credit Event Net Loss
Credit Event Reference Obligation,Credit Event UPB
Credit Event Reference Obligation,Liquidation Proceeds
Credit Event Reference Obligation,Liquidation Recovery Mortgage Loans
Credit Event Reference Obligation,Modeling Assumptions
Credit Event Reference Obligation,Mortgage Insurance Credit Amount
Credit Event Reference Obligation,Net Liquidation Proceeds
Credit Event Reference Obligation,Payment Date Statement
Credit Event Reference Obligation,Principal Loss Amount
Credit Event Reference Obligation,Principal Recovery Amount
Credit Event Reference Obligation,Reversed Credit Event Amount
Credit Event Reference Obligation,Unscheduled Principal
Credit Event UPB,Credit Event Amount
Credit Event UPB,Credit Event Net Gain
Credit Event UPB,Credit Event Net Loss
Credit Event UPB,Reversed Credit Event Amount
Credit Suisse,Barclays
Credit Suisse,BofA Merrill
Credit Suisse,Citigroup
Credit Suisse,Dealer Agreement
Credit Suisse,Dealers
Credit Suisse,JP Morgan
Credit Suisse,Wells Fargo
Current Accrual Rate,Credit Event Net Gain
Current Accrual Rate,Credit Event Net Loss
Current Accrual Rate,Modification Event
Current Accrual Rate,Modification Loss Amount
Cut-off Date,Canadian Purchaser
Cut-off Date,Eligibility Criteria
Cut-off Date,Loan Group 1
Cut-off Date,Loan Group 2
Cut-off Date,NI 31-103
Cut-off Date,NI 45-106
Cut-off Date,Original Accrual Rate
Cut-off Date,Payment Date Statement
Cut-off Date,Reference Obligations
Cut-off Date,Reference Pool
Cut-off Date,Securities Laws
Dealer,Barclays
Dealer,BofA Merrill
Dealer,Canadian Purchaser
Dealer,Citigroup
Dealer,Credit Suisse
Dealer,Dealer Agreement
Dealer,Dealers
Dealer,JP Morgan
Dealer,NI 31-103
Dealer,NI 45-106
Dealer,Relevant Implementation Date
Dealer,Securities Laws
Dealer,Wells Fargo
Dealer Agreement,Barclays
Dealer Agreement,BofA Merrill
Dealer Agreement,Citigroup
Dealer Agreement,Credit Suisse
Dealer Agreement,JP Morgan
Dealer Agreement,Wells Fargo
Dealers,Barclays
Dealers,BofA Merrill
Dealers,Citigroup
Dealers,Credit Suisse
Dealers,Dealer Agreement
Dealers,JP Morgan
Dealers,Wells Fargo
Debt Agreement,Reference Pool Removals
Debt Agreement,Retained Interest
Debt Agreement,Risk Retention Letter
Definitive Notes,Payment Date
Definitive Notes,Record Date
Delinquency Test,Modeling Assumptions
Delinquency Test,Senior Reduction Amount
Diligence Provider,Canadian Purchaser
Diligence Provider,Diligence Sample
Diligence Provider,Fannie Mae QC Review
Diligence Provider,Material Finding
Diligence Provider,NI 31-103
Diligence Provider,NI 45-106
Diligence Provider,Securities Laws
Diligence Sample,Material Finding
Distressed Principal Balance,Delinquency Test
EEA RISK RETENTION,EXEMPT PERSONS
EEA Risk Retention,EEA Risk Retention Regulation
EEA Risk Retention,Transaction
EEA Risk Retention Regulation,Transaction
EXEMPT PERSONS,EEA RISK RETENTION
EXEMPT PERSONS,RELEVANT PERSONS
Early Redemption Option,Group 1 Termination Date
Early Redemption Option,Group 2 Termination Date
Early Redemption Option,Modeling Assumptions
Eligibility Criteria,Initial Cohort Pool
Eligibility Defect,Eligibility Defect Rate
Eligibility Defect Rate,Eligibility Defect
Euroclear,Book-Entry Notes
Euroclear,Common Depositary
Euroclear,Euroclear Operator
Euroclear,Euroclear Participants
Euroclear,Indirect Participants
Euroclear,Note Owners
Euroclear,Participants
Euroclear Participants,Euroclear
Exchange Act,Rated Notes
Exchangeable Notes,Class Principal Balance
Exchangeable Notes,Combination RCR Note
Exchangeable Notes,Combinations
Exchangeable Notes,Exchange Administrator
Exchangeable Notes,Group 1 Exchangeable Notes
Exchangeable Notes,Group 1 Notes
Exchangeable Notes,Group 1 RCR Notes
Exchangeable Notes,Group 2 Exchangeable Notes
Exchangeable Notes,Group 2 Notes
Exchangeable Notes,Group 2 RCR Notes
Exchangeable Notes,Modeling Assumptions
Exchangeable Notes,RCR NOTES
Exchangeable Notes,RCR Notes
Exchangeable Notes,Strip RCR Note
Global Agency Agreement,Global Agent
Global Agency Agreement,Retained Interest
Global Agency Agreement,Risk Retention Letter
Global Agency Agreement,Wells Fargo Bank
Global Agent,Business Day
Global Agent,Common Depositary
Global Agent,Global Agency Agreement
Global Agent,Group 1 Termination Date
Global Agent,Group 2 Termination Date
Global Agent,ICE Method
Global Agent,Interest Settlement Rate
